key,clarification
the fan [person],enthusiast/supporter
the farm,area for agricultural production
the father,male parent
the finger,digit on hand
the fire,flames/combustion
the fish,aquatic animal with fins
the floor,walking surface inside a room
the flower,small plant
the foot,body part (lower limb)
the foot [measurement],unit of length (12 inches)
the forest,dense area with many trees
the fork,pronged eating utensil
the friend,person you like/trust
the front,forward-facing area
the game,recreational activity
the garden,area for growing plants
the gasoline,fuel for cars
the gift,present/something given
the girl,female child
the grandfather,father's father
the grandmother,father's mother
the grass,ground-covering plants
the ground,surface of the earth
the gun,firearm
the hair,grows on head
the half,50% portion
the hand,appendage at end of arm
the hat,head covering
the head,body part
the heart,organ that pumps blood
the heat,thermal energy/warmth
the hill,"elevated landform, smaller than mountain"
the hole,opening/cavity
the horse,large rideable animal
the hospital,medical facility
the hotel,lodging for travelers
the hour,60-minute period
the house,dwelling/residence
the human,homo sapiens/person
the husband,married man
the ice,frozen water
the image,picture/visual representation
the inch,unit of length (2.54cm)
the injury,wound/damage to body
the inside,inner area
the instrument,device for making music
the island,land surrounded by water
the job,employment/occupation
the key,device for opening locks
the kilogram,unit of weight (1000g)
the king,male monarch
the kitchen,room for cooking
the knee,joint in middle of leg
the knife,cutting utensil
the lake,large body of water inland
the lamp,light source fixture
the laptop,portable computer
the lawyer,legal professional
the leaf,plant appendage (green)
the leg,lower limb
the lemon,
the letter,alphabet character
the library,place for borrowing books
the light,source of illumination
the lip,edge of mouth
the location,place/position
the lock,security device
the magazine,periodical publication
the man,adult male human
the manager,supervisor/boss
the map,geographic representation
the market,place for buying/selling goods
the meter,unit of length (100 cm)
the minute,60-second period
the month,~30-day period
the moon,Earth's natural satellite
the morning,before noon
the mother,female parent
the mountain,large elevated landform
the mouse,small rodent (pest)
the mouth,opening for eating/speaking
the movie,film/cinema
the neck,connects head to body
the needle,sewing/injection tool
the neighbor,person living nearby
the network,interconnected system (internet/social)
the newspaper,printed daily publication
the night,dark hours
the north,compass direction (toward pole star)
the nose,organ for smelling
the note,short written message
the noun,"naming word (cat, house, etc.)"
the number,quantitative value
the ocean,large body of salt water
the office,workplace
the orange,citrus fruit
the outside,outer area
the page,sheet in a book
the paint,colored coating for surfaces
the pants,lower body garment
the paper,material for writing on
the parent,
the park,public green space
the patient,person receiving medical care
the pattern,design/template
the pen,writing instrument
the pencil,writing tool with graphite
the person,any individual
the photograph,image captured by camera
the piece,portion/fragment
the pig,the animal
the plane,aircraft
the plant,living vegetation
the plate,flat dish for eating
the player,participant in sports/games
the pocket,small compartment in clothing
the police,law enforcement
the pool,swimming area
the pork,
the pound,unit of weight
the president,"head of state (US, France, etc.)"
the price,cost of something
the priest,religious leader (Christian)
the program,TV/radio show
the queen,female monarch
the radio,device for receiving broadcasts
the rain,precipitation from clouds
the reporter,news journalist
the restaurant,eating establishment
the ring,jewelry worn on finger
the river,large flowing body of water
the roof,covering on top of building
the room,space within a building
the root,plant part underground
the sand,loose granular material (beach)
the school,educational institution
the screen,display surface
the sea,large body of salt water
the season,time of year (spring/summer/fall/winter)
the second,unit of time (1/60 of a minute)
the secretary,administrative assistant
the seed,plant reproductive unit
the ship,large water vessel
the shirt,upper body garment
the shoes,footwear
the shoulder,joint connecting arm to torso
the side,lateral area
the sign,symbol/notice
the sister,female sibling
the skin,outer covering of body
the skirt,women's lower garment
the sky,atmosphere above
the snow,frozen precipitation
the soap,cleaning product for washing
the soldier,military personnel
the son,male offspring
the song,musical composition
the sound,audio/noise
the soup,
the south,compass direction (toward Antarctica)
the spoon,rounded eating utensil
the Spring,season after winter (flowers bloom)
the square,four-sided shape
the stain,discoloration/spot on surface
the star,celestial body
the store/shop,retail establishment
the street/road,paved path for vehicles
the student,person learning
the suit,formal matching jacket and trousers
the Summer,warm season
the sun,our star
the T-shirt,casual upper body garment
the table,furniture with flat top and legs
the teacher,person who educates
the team,group working together
the tear,drop of liquid from eye when crying
the telephone,device for calls
the television,device for watching broadcasts
the theater,venue for performances
the time,temporal concept
the tire,rubber covering on wheel
the toe,digit on foot
the tongue,body part in mouth
the tool,implement for work
the tooth,hard white structures in mouth
the top,highest part
the town,small municipality
the train,rail vehicle
the train station,where trains stop
the tree,perennial woody plant
the truck,large road vehicle for cargo
the university,higher education institution
the valley,low area between hills/mountains
the verb,"action word (run, eat, etc.)"
the victim,person harmed by crime/disaster
the voice,speaking/singing sound
the vowel,"a, e, i, o, u"
the waiter,food service worker
the wall,vertical divider in building
the wave,water movement
the week,7-day period
the west,compass direction (sunset)
the wife,married woman
the wind,moving air current
the window,opening in wall for light/air
the wing,appendage for flying
the Winter,cold season
the woman,adult female human
the world,globe/Earth
the yard,outdoor area near a house
the year,365-day period
they,
thick,
thin,
third (3rd),
thirteen (13),
thirty (30),
thirty-one (31),
thirty-two (32),
three (3),
Thursday,
tight,
to beat,to strike repeatedly
to bend,
to break,to shatter/damage
to build,
to burn,to be on fire
to buy,
to call,to summon
to carry,
to catch,to grab
to clean,
to close,
to cook,
to count,
to cry,
to cut,
to dance,
to die,
to dig,
to draw,to sketch/illustrate
to drink,
to drive,
to eat,
to explode,
to fall,to descend/drop
to feed,
to fight,
to find,to discover/locate
to fly,
to follow,to go after
to go,
to grow,
to hang,to suspend from above
to hear,
to jump,
to kill,
to kiss,
to laugh,
to learn,
to lie down,
to lift,
to listen,
to lose,to misplace
to love,
to marry,
to melt,
to mix / to stir,
to open,
to pass by,
to pay,
to play,to engage in recreation
to pray,
to pull,
to push,
to run,
to see,
to sell,
to shake,to vibrate
to shoot (a gun),to fire a weapon
to sign,to write one's name
to sing,
to sit,
to sleep,
to smell,to perceive odor
to smile,
to speak / to say,
to stand,
to stop,
to swim,
to taste,to perceive flavor
to teach,
to think,
to throw,
to touch,
to turn,to rotate
to wake up,
to walk,
to wash,
to watch,to observe/look at
to wear,
to win,
to work,to labor
to write,
transportation,vehicles/systems for moving people
Tuesday,
twelve (12),
twenty (20),
twenty-one (21),
twenty-two (22),
two (2),
ugly,
up,
war,
warm,
water,
we,
weak,
wedding,ceremony of getting married
Wednesday,
weight,
wet,
white,
wide,
wine,
wood,hard natural material from trees
yellow,
yes,
"you [plural, y'all]",second person plural
you [singular],second person singular
young,
